	320001-V7-BC	320002-V7-BC	320003-V7-BC	320005-V7-BC	320006-V7-BC	320007-V7-BC	320008-V7-BC	320009-V7-BC	320011-V7-BC	320013-V7-BC	320014-V7-BC	320016-V7-BC	320017-V7-BC	320018-V7-BC	320019-V7-BC	320024-V7-BC	320026-V7-BC	320027-V7-BC	320028-V7-BC	320030-V7-BC	320031-V7-BC	320032-V7-BC	320033-V7-BC	320034-V7-BC	320035-V7-BC	320036-V7-BC	320037-V7-BC	320039-V7-BC	320040-V7-BC	320041-V7-BC	320043-V7-BC	320044-V7-BC	320045-V7-BC	320047-V7-BC	320049-V7-BC	320050-V7-BC	320051-V7-BC	320053-V7-BC	320054-V7-BC	320055-V7-BC	320056-V7-BC	320057-V7-BC	320062-V7-BC	320063-V7-BC	320066-V7-BC	320069-V7-BC	320070-V7-BC	320071-V7-BC	320074-V7-BC	320077-V7-BC	320080-V7-BC	320084-V7-BC	380002-V7-BC	380003-V7-BC	320085-V7-BC
320014-V7-BC	0.546777494463511	0.6765713421458609	0.6180928825973137	0.47031846869810345	0.5786285947773765	0.5690398055261554	0.5425679563069927	0.5029555133704825	0.5551714145180169	0.5480341406848771	0.0	0.4879860065392569	0.5706121400057081	0.6069210702407348	0.6163013482828693	0.538512964427874	0.521087608708126	0.4523164270323503	0.5716203044038016	0.5414346283753849	0.5918945088727177	0.5571653609262389	0.5227889484929041	0.5708954556995304	0.5349729650679433	0.5235219759099936	0.7022506746779257	0.577649833229107	0.5513940938548798	0.5403092986933761	0.7675010271845031	0.7006551343385338	0.6953644039050908	0.5353588815803886	0.8482258761903845	0.7164810154812644	0.531334312814608	0.7590301789349294	0.6245408238388998	0.6243000339359596	0.6535176461500454	0.6833120347388421	0.6517857014748882	0.5468861023639606	0.5387662785697551	0.5434767377870611	0.5471968503913066	0.7249822917887193	0.5118769014386025	0.6491867309378853	0.6911584537579581	0.6583663660374451	0.5394984895792039	0.6640800287910893	0.5261476629484124
320016-V7-BC	0.3907324066192519	0.6430567260829025	0.5587586085254053	0.47100145921115183	0.5573954708718135	0.5696322053628886	0.41113992826593604	0.5672115826905619	0.5787734982245976	0.5785571678653411	0.4879860065392569	0.0	0.6315651146303758	0.6543755647383797	0.5607208454629782	0.6571589839059837	0.47677954224021174	0.4652519913251521	0.529654227719531	0.44606162699525204	0.5168029529795247	0.5823287013383072	0.5858827416997882	0.5850727715940668	0.531082526898154	0.4818626941850373	0.7453359962893497	0.5953456873318241	0.4781719768442523	0.5265279040500743	0.776565775947011	0.7110574280175809	0.7113644593654344	0.4725977876493308	0.8617737511083536	0.7759493799906607	0.5659703186590669	0.7974464368452499	0.5272126729450534	0.6928145282053643	0.5887127962571608	0.7171630992229576	0.6602995428426311	0.49889576376239164	0.6045886324572216	0.40797530184405956	0.5458663410269379	0.7654752969455111	0.41580752222163486	0.6766305363458632	0.7371938852250981	0.6451323703657786	0.5686115825001362	0.5319165772632432	0.6075275103021611
320017-V7-BC	0.6658823927014135	0.6334185797933872	0.5641163222190119	0.6052199647374641	0.5307014891780981	0.5884803715209808	0.6309329586680185	0.5126478072944836	0.607947914924421	0.5096900779714927	0.5706121400057081	0.6315651146303758	0.0	0.5215454416034807	0.6623020431652913	0.472491770754417	0.5791895882154325	0.5278941700309863	0.5571662147388006	0.6863253286765932	0.6379789127200437	0.5467284589900605	0.4910857028904787	0.5333106242486528	0.5258487367212954	0.6036864205702014	0.6462847722422844	0.48063442265683254	0.6358917643221926	0.6045750874820361	0.6276754545803526	0.6419274061208666	0.6709142748321789	0.6585282847949709	0.8112931832504786	0.7037653042458348	0.5142855017934617	0.6823887309149752	0.6939571989807909	0.58181753840113	0.5979453793581708	0.6712951683056916	0.5525773550955311	0.7071105685813269	0.5585326366879287	0.5986449384796123	0.5752570402622096	0.6579468755244855	0.6490634789418078	0.5293387007648791	0.605080265005757	0.551416397857065	0.6139185027317242	0.6688578557077093	0.5908863171822752
320018-V7-BC	0.6746900372868738	0.6281165515626338	0.6623643721083269	0.6553907774985986	0.612962545706728	0.5560348163325924	0.7003040009323741	0.5240714665582906	0.5898506522155325	0.5373008453125867	0.6069210702407348	0.6543755647383797	0.5215454416034807	0.0	0.701386766004515	0.5421919463489056	0.6452168892825985	0.6157730223531472	0.5325614994325983	0.7187552179818377	0.6822047618233678	0.5802409871923419	0.515750078779656	0.5512109949675748	0.6055738049151548	0.7023350287379145	0.6871594724310887	0.5021316663907763	0.632472250764341	0.5822034177059654	0.6679784032959066	0.6800988023440838	0.6141275566981411	0.6776461334689468	0.844015951838611	0.7173931762374376	0.5179353422086752	0.7151788222010391	0.7146777000054683	0.48653806229731605	0.635504112777905	0.5921283206061442	0.4990656454723062	0.7129351134899696	0.6037678762489934	0.6477888861895741	0.6118206539838585	0.6098929020516252	0.6834366489244303	0.43645841466969515	0.567136718726479	0.6177908451249764	0.6046995801099913	0.7309738976397069	0.6261508501449561
320019-V7-BC	0.48373313738686624	0.6897965159559171	0.6654509353458696	0.5647757211935798	0.6676557382425871	0.6174711409991068	0.5597277233388933	0.6214220891563152	0.6543846300463145	0.6133638762239663	0.6163013482828693	0.5607208454629782	0.6623020431652913	0.701386766004515	0.0	0.6814498730752698	0.5925659209148103	0.6140091753476782	0.6510037122641794	0.48420710512631737	0.524840207104133	0.5881383458373498	0.5793899789497959	0.5767176649056585	0.6195177840720055	0.5944291854761637	0.6890873407915167	0.6278822347410344	0.5574854514146008	0.6412314155279146	0.7883939813003868	0.7087600910752642	0.7454882830515455	0.5722010028533465	0.8468826995283978	0.7819019213740775	0.5612371741268286	0.8104715002443011	0.47968332394700397	0.7244222524801719	0.6817850304372122	0.775958480003324	0.6548142544011939	0.5405713146617099	0.6202983342895466	0.6764508573778719	0.6266138999713423	0.8131858638638947	0.5981041532457637	0.7026655063081537	0.7648626870848204	0.6598544951853147	0.6947038889180127	0.5107886501511928	0.6803912065247582
320024-V7-BC	0.6860383580899974	0.6543666181853229	0.6389535715900432	0.5882813925492021	0.6198442177922492	0.6192955257047743	0.6646091123907263	0.5440534472615819	0.5966846970938244	0.5274873727681144	0.538512964427874	0.6571589839059837	0.472491770754417	0.5421919463489056	0.6814498730752698	0.0	0.6290731283565029	0.5554681818349814	0.5657055295153066	0.6789459781287268	0.6681631757094842	0.5707803910824735	0.47781083472814995	0.586470304257316	0.5980437084607381	0.6320810650305388	0.6710398168545446	0.5079480104681897	0.6052482456866239	0.6022130003458724	0.7251289586478419	0.6839738562629066	0.6348259385454792	0.6418284694195752	0.7782343649564505	0.7120010402077388	0.5645585701085906	0.7472194556540945	0.7119720523973121	0.5744465543942818	0.6449572943263906	0.49241017145298127	0.5634233337310449	0.691395087608535	0.5431648768469449	0.6070862260517185	0.5892260380199673	0.7138423441656837	0.6459755933082705	0.5931240399406998	0.6457987224702215	0.6086233630480158	0.5513735083189037	0.6849765907915203	0.4991626425395845
320026-V7-BC	0.4728345052195873	0.6366271545107773	0.5864498332313777	0.426147023382491	0.509728226345346	0.510738556376024	0.4867355304227279	0.5425456912051676	0.5572957539557084	0.6002385209024821	0.521087608708126	0.47677954224021174	0.5791895882154325	0.6452168892825985	0.5925659209148103	0.6290731283565029	0.0	0.41714020067004365	0.6027943604655643	0.5389084414542256	0.49716375801658497	0.5248180405654208	0.4953543439996944	0.5530233744367226	0.5405039700661927	0.45808537370842545	0.6762291206119992	0.6047798335279541	0.5423013879573308	0.499145050291269	0.7570570355061903	0.6828446923098538	0.7188577762318468	0.4368038611100021	0.8367192658808082	0.7105007234286354	0.5336368585941285	0.7654503197198862	0.57889961456803	0.6983616295661127	0.6301666915228848	0.7188621539059987	0.5983925942485399	0.5630088898024997	0.5958211896962619	0.5173939370765422	0.5287801400519563	0.7725909432242458	0.464785836318597	0.6236796991431007	0.7076342666060891	0.6265436488398572	0.4900914011443464	0.6170225368354977	0.577299486102547
320027-V7-BC	0.4983593691621286	0.6451260977578841	0.5456831334361786	0.4148897856952089	0.49041157154178355	0.5569838110692951	0.4637311877878816	0.49006669274533554	0.478392926940447	0.5261090431681893	0.4523164270323503	0.4652519913251521	0.5278941700309863	0.6157730223531472	0.6140091753476782	0.5554681818349814	0.41714020067004365	0.0	0.5380598527304438	0.5400845768738606	0.5132043480621037	0.5349969045808398	0.5310984771845101	0.5319779661123906	0.48703885932244717	0.4449053473183001	0.6805757125640329	0.5981816491544366	0.5446662261050654	0.4794985510558209	0.6785899580839849	0.689822635103471	0.6797011416239945	0.46906895676954846	0.8452417563500182	0.73347946437304	0.4248388414311068	0.7816227808329806	0.5647242965954266	0.5865213030552532	0.6145463674935542	0.6551440008059829	0.6163943732473511	0.512348745023411	0.49994967476013347	0.3589927273415094	0.488183586089754	0.7463203434718287	0.4085362604965922	0.5782128562544607	0.6787629829887774	0.6111815485295065	0.4921187819480582	0.639367322650313	0.5085140786232382
320028-V7-BC	0.608072500756412	0.5607638338153876	0.5984282993574248	0.6010561606880448	0.5962906463314558	0.5795514460269764	0.5883923557902171	0.5257292837615632	0.5971703361263587	0.49501670578411305	0.5716203044038016	0.529654227719531	0.5571662147388006	0.5325614994325983	0.6510037122641794	0.5657055295153066	0.6027943604655643	0.5380598527304438	0.0	0.6122518747548459	0.5913756249010134	0.5834325142183965	0.5703162091281198	0.5675359067390408	0.6069238261931312	0.6144266401680041	0.6981525310263306	0.5061225303665831	0.592819962616773	0.5973940041505411	0.7243791273805158	0.5797862591627667	0.6463185814894141	0.628634709007679	0.8327627051010493	0.7186059922501541	0.5310453646646741	0.7460897104937524	0.660013934259353	0.577642529878002	0.5321727103128367	0.6607984614531237	0.5739749824060626	0.6561653303250308	0.570434131857118	0.5405071580534497	0.5631051028377744	0.6889986357224033	0.5833378538609757	0.5682057835935018	0.6682312646890989	0.588198427385262	0.5885761393132586	0.6392488342194224	0.6106716232943906
320030-V7-BC	0.4051663554759157	0.6388555272836203	0.6625015860458837	0.47871335106083096	0.6370711309253646	0.6038340763759495	0.44669398407861666	0.5948276176836461	0.5814815227205359	0.661813104793587	0.5414346283753849	0.44606162699525204	0.6863253286765932	0.7187552179818377	0.48420710512631737	0.6789459781287268	0.5389084414542256	0.5400845768738606	0.6122518747548459	0.0	0.436712045431502	0.5791265514094828	0.5874691805849739	0.6630918863109493	0.595974198151564	0.47896578037409904	0.7974481059472246	0.6766609438328569	0.47685747423290453	0.5082124032582226	0.8508047855023402	0.7637268067143363	0.7730778936879066	0.4829017913259904	0.8809408628466235	0.8198897036831847	0.632107559527798	0.8514510363811775	0.5266710930853189	0.7704168730028511	0.6930071547694426	0.7514477331679452	0.7262033968648175	0.4403795214760119	0.6876254307027032	0.5647949399286445	0.5996252125827785	0.8508179855620202	0.43954333843252047	0.758283229134853	0.805564131821137	0.6669499370461078	0.5852405050445555	0.5336790170157645	0.621564448683444
